Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
53, Nusa Tenggara Timur ,Kedelai Biji Kering,2025,Maret,"Rp11,722"
61, Kalimantan Barat ,Kedelai Biji Kering,2025,Maret,"Rp11,003"
62, Kalimantan Tengah ,Kedelai Biji Kering,2025,Maret,"Rp10,200"
63, Kalimantan Selatan ,Kedelai Biji Kering,2025,Maret,"Rp10,321"
64, Kalimantan Timur ,Kedelai Biji Kering,2025,Maret,"Rp11,480"
65, Kalimantan Utara ,Kedelai Biji Kering,2025,Maret,"Rp11,253"
71, Sulawesi Utara ,Kedelai Biji Kering,2025,Maret,"Rp11,500"
72, Sulawesi Tengah ,Kedelai Biji Kering,2025,Maret,"Rp11,870"
73, Sulawesi Selatan ,Kedelai Biji Kering,2025,Maret,"Rp10,463"
74, Sulawesi Tenggara ,Kedelai Biji Kering,2025,Maret,"Rp11,162"
75, Gorontalo ,Kedelai Biji Kering,2025,Maret,"Rp9,966"
76, Sulawesi Barat ,Kedelai Biji Kering,2025,Maret,"Rp11,791"
81, Maluku ,Kedelai Biji Kering,2025,Maret,"Rp11,929"
82, Maluku Utara ,Kedelai Biji Kering,2025,Maret,"Rp12,418"
91, Papua ,Kedelai Biji Kering,2025,Maret,"Rp14,803"
92, Papua Barat ,Kedelai Biji Kering,2025,Maret,"Rp10,941"
93, Papua Selatan ,Kedelai Biji Kering,2025,Maret,-
94, Papua Tengah ,Kedelai Biji Kering,2025,Maret,"Rp12,103"
95, Papua Pegunungan ,Kedelai Biji Kering,2025,Maret,-
96, Papua Barat Daya ,Kedelai Biji Kering,2025,Maret,"Rp14,063"
11, Aceh ,Bawang Merah,2025,Maret,"Rp37,333"
12, Sumatera Utara ,Bawang Merah,2025,Maret,"Rp37,331"
13, Sumatera Barat ,Bawang Merah,2025,Maret,"Rp32,426"
14, Riau ,Bawang Merah,2025,Maret,"Rp37,180"
15, Jambi ,Bawang Merah,2025,Maret,"Rp34,446"
16, Sumatera Selatan ,Bawang Merah,2025,Maret,"Rp42,721"
17, Bengkulu ,Bawang Merah,2025,Maret,"Rp41,013"
18, Lampung ,Bawang Merah,2025,Maret,"Rp44,337"
19, Kepulauan Bangka Belitung ,Bawang Merah,2025,Maret,"Rp49,868"
21, Kepulauan Riau ,Bawang Merah,2025,Maret,"Rp38,976"
31, DKI Jakarta ,Bawang Merah,2025,Maret,"Rp50,876"
32, Jawa Barat ,Bawang Merah,2025,Maret,"Rp45,707"
33, Jawa Tengah ,Bawang Merah,2025,Maret,"Rp44,751"
34, D.I Yogyakarta ,Bawang Merah,2025,Maret,"Rp44,226"
35, Jawa Timur ,Bawang Merah,2025,Maret,"Rp41,017"
36, Banten ,Bawang Merah,2025,Maret,"Rp46,113"
51, Bali ,Bawang Merah,2025,Maret,"Rp35,041"
52, Nusa Tenggara Barat ,Bawang Merah,2025,Maret,"Rp39,365"
53, Nusa Tenggara Timur ,Bawang Merah,2025,Maret,"Rp38,237"
61, Kalimantan Barat ,Bawang Merah,2025,Maret,"Rp37,999"
62, Kalimantan Tengah ,Bawang Merah,2025,Maret,"Rp42,609"
63, Kalimantan Selatan ,Bawang Merah,2025,Maret,"Rp37,683"
64, Kalimantan Timur ,Bawang Merah,2025,Maret,"Rp43,714"
65, Kalimantan Utara ,Bawang Merah,2025,Maret,"Rp46,441"
71, Sulawesi Utara ,Bawang Merah,2025,Maret,"Rp46,312"
72, Sulawesi Tengah ,Bawang Merah,2025,Maret,"Rp43,064"
73, Sulawesi Selatan ,Bawang Merah,2025,Maret,"Rp35,504"
74, Sulawesi Tenggara ,Bawang Merah,2025,Maret,"Rp42,268"
75, Gorontalo ,Bawang Merah,2025,Maret,"Rp45,569"
76, Sulawesi Barat ,Bawang Merah,2025,Maret,"Rp38,884"
81, Maluku ,Bawang Merah,2025,Maret,"Rp43,883"
82, Maluku Utara ,Bawang Merah,2025,Maret,"Rp52,670"
91, Papua ,Bawang Merah,2025,Maret,"Rp54,845"
92, Papua Barat ,Bawang Merah,2025,Maret,"Rp50,647"
93, Papua Selatan ,Bawang Merah,2025,Maret,-
94, Papua Tengah ,Bawang Merah,2025,Maret,"Rp50,000"
95, Papua Pegunungan ,Bawang Merah,2025,Maret,-
96, Papua Barat Daya ,Bawang Merah,2025,Maret,"Rp51,089"
11, Aceh ,Bawang Putih (Bonggol),2025,Maret,"Rp43,523"
12, Sumatera Utara ,Bawang Putih (Bonggol),2025,Maret,"Rp43,258"
13, Sumatera Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp40,912"
14, Riau ,Bawang Putih (Bonggol),2025,Maret,"Rp41,833"
15, Jambi ,Bawang Putih (Bonggol),2025,Maret,"Rp40,896"
16, Sumatera Selatan ,Bawang Putih (Bonggol),2025,Maret,"Rp43,145"
17, Bengkulu ,Bawang Putih (Bonggol),2025,Maret,"Rp43,786"
18, Lampung ,Bawang Putih (Bonggol),2025,Maret,"Rp42,259"
19, Kepulauan Bangka Belitung ,Bawang Putih (Bonggol),2025,Maret,"Rp44,137"
21, Kepulauan Riau ,Bawang Putih (Bonggol),2025,Maret,"Rp36,918"
31, DKI Jakarta ,Bawang Putih (Bonggol),2025,Maret,"Rp48,207"
32, Jawa Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp43,131"
33, Jawa Tengah ,Bawang Putih (Bonggol),2025,Maret,"Rp40,133"
34, D.I Yogyakarta ,Bawang Putih (Bonggol),2025,Maret,"Rp39,644"
35, Jawa Timur ,Bawang Putih (Bonggol),2025,Maret,"Rp39,425"
36, Banten ,Bawang Putih (Bonggol),2025,Maret,"Rp44,059"
51, Bali ,Bawang Putih (Bonggol),2025,Maret,"Rp39,358"
52, Nusa Tenggara Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp42,379"
